sujeto,movimiento,tipo_artefacto_sospechado,eventos,canales_afectados,bandas_afectadas,z_max_abs,salto_max_abs
252260554,pull,posible_ocular_frontal_banda_baja,36,3,2,30.014,16.2051
252260554,pull,outlier_estadistico_extremo,18,6,4,24.501,4.0328
252260554,pull,posible_no_fisiologico_salto_o_pico,12,4,3,23.4561,11.4433
252260554,push,salto_brusco_estadistico,734,14,5,4.4479,224.6387
252260554,push,posible_muscular_beta_gamma,515,6,3,28.9371,94.0356
252260554,push,posible_no_fisiologico_salto_o_pico,261,12,5,644.8322,1592.6536
252260554,push,posible_ocular_frontal_banda_baja,223,6,2,87.3449,255.9591
252260554,push,outlier_estadistico_extremo,179,12,5,18.5969,4.4908
252260554,right,salto_brusco_estadistico,361,14,5,4.4867,731.9912
252260554,right,posible_muscular_beta_gamma,138,6,3,8.2349,20.2728
252260554,right,posible_no_fisiologico_salto_o_pico,129,11,5,303.4111,385.7835
252260554,right,outlier_estadistico_extremo,96,12,5,21.048,4.3618
252260554,right,posible_ocular_frontal_banda_baja,56,6,2,8.6472,21.975
252260556,all,salto_brusco_estadistico,2536,14,5,4.4869,750.163
252260556,all,posible_muscular_beta_gamma,1104,6,3,51.1041,155.8095
252260556,all,posible_no_fisiologico_salto_o_pico,991,12,5,333.5324,908.6838
252260556,all,posible_ocular_frontal_banda_baja,583,6,2,200.3417,438.9666
252260556,all,outlier_estadistico_extremo,368,12,5,81.621,4.4961
252260556,left,salto_brusco_estadistico,926,14,5,4.4892,879.5015
252260556,left,posible_no_fisiologico_salto_o_pico,420,12,5,316.7609,1065.3534
252260556,left,posible_muscular_beta_gamma,389,6,3,47.1885,121.6116
252260556,left,posible_ocular_frontal_banda_baja,260,6,2,179.491,416.2949
252260556,left,outlier_estadistico_extremo,172,12,5,41.9991,4.4861
252260556,pull,salto_brusco_estadistico,850,14,5,4.4929,56.8977
252260556,pull,posible_no_fisiologico_salto_o_pico,402,12,3,275.8325,226.9665
252260556,pull,posible_muscular_beta_gamma,271,6,3,10.1276,22.114
252260556,pull,posible_ocular_frontal_banda_baja,262,6,2,191.5501,119.5026
252260556,pull,outlier_estadistico_extremo,96,12,4,61.248,4.4334
252260556,push,salto_brusco_estadistico,391,14,5,4.4661,152.6463
252260556,push,posible_muscular_beta_gamma,151,6,3,5.0511,16.8625
252260556,push,posible_no_fisiologico_salto_o_pico,61,8,5,42.4676,66.7522
252260556,push,posible_ocular_frontal_banda_baja,48,6,2,8.7809,16.0751
252260556,push,outlier_estadistico_extremo,47,11,3,19.2675,4.4341
252260556,right,salto_brusco_estadistico,331,14,5,4.4967,58.2873
252260556,right,posible_muscular_beta_gamma,160,6,3,12.1837,25.9522
252260556,right,posible_no_fisiologico_salto_o_pico,50,10,4,22.3582,37.8333
252260556,right,outlier_estadistico_extremo,46,9,5,12.5349,4.3778
252260556,right,posible_ocular_frontal_banda_baja,20,6,2,13.1945,42.3198
252260670,all,salto_brusco_estadistico,646,14,5,4.4676,1480.9913
252260670,all,posible_muscular_beta_gamma,332,6,3,68.2588,154.2093
252260670,all,posible_no_fisiologico_salto_o_pico,312,12,5,205.0598,375.2413
252260670,all,posible_ocular_frontal_banda_baja,160,5,2,305.5937,509.6634
252260670,all,outlier_estadistico_extremo,113,12,5,169.4938,4.4751
252260670,left,salto_brusco_estadistico,31,11,5,4.1679,38.7691
252260670,left,posible_muscular_beta_gamma,21,6,3,7.7049,22.4608
252260670,left,outlier_estadistico_extremo,6,4,3,6.4833,2.8829
252260670,left,posible_no_fisiologico_salto_o_pico,2,2,1,7.8373,13.4731
252260670,pull,salto_brusco_estadistico,63,14,5,4.4045,41.4817
252260670,pull,posible_muscular_beta_gamma,44,6,3,99.1044,43.4333
252260670,pull,outlier_estadistico_extremo,33,5,5,37.0975,4.047
252260670,pull,posible_no_fisiologico_salto_o_pico,18,8,4,59.0326,98.9536
252260670,pull,posible_ocular_frontal_banda_baja,10,2,2,177.2071,277.4996
252260670,push,salto_brusco_estadistico,232,14,5,4.4774,68.1245
252260670,push,posible_no_fisiologico_salto_o_pico,186,12,5,36.6982,43.168
252260670,push,posible_muscular_beta_gamma,152,6,3,14.3879,14.6016
252260670,push,outlier_estadistico_extremo,93,12,5,38.8962,4.4806
252260670,push,posible_ocular_frontal_banda_baja,61,5,2,13.4113,19.4468
252260670,right,salto_brusco_estadistico,239,14,5,4.4516,3242.8487
252260670,right,posible_muscular_beta_gamma,137,6,3,83.1438,173.9855
252260670,right,posible_ocular_frontal_banda_baja,114,6,2,372.7402,306.3582
252260670,right,posible_no_fisiologico_salto_o_pico,81,11,5,957.8479,579.1784
252260670,right,outlier_estadistico_extremo,36,10,5,792.2242,4.4667
cano,all,posible_no_fisiologico_salto_o_pico,2765,12,5,3662.2485,6710.821
cano,all,posible_muscular_beta_gamma,1960,6,3,534.044,736.3649
cano,all,salto_brusco_estadistico,1787,14,5,4.4902,1138.3414
cano,all,posible_ocular_frontal_banda_baja,1075,6,2,1818.3073,3368.0797
cano,all,outlier_estadistico_extremo,422,12,5,335.439,4.4648
cano,left,salto_brusco_estadistico,201,14,5,4.4983,20.9421
cano,left,posible_muscular_beta_gamma,116,6,3,11.159,20.3676
cano,left,posible_no_fisiologico_salto_o_pico,34,4,3,66.0769,36.0531
cano,left,outlier_estadistico_extremo,30,7,4,47.4719,4.4169
cano,left,posible_ocular_frontal_banda_baja,6,4,2,5.866,5.9029
cano,pull,salto_brusco_estadistico,134,14,5,4.488,68.0166
cano,pull,posible_muscular_beta_gamma,45,6,3,8.4531,16.5897
cano,pull,outlier_estadistico_extremo,15,7,5,20.3654,3.8883
cano,pull,posible_no_fisiologico_salto_o_pico,14,7,4,23.9334,72.7381
cano,pull,posible_ocular_frontal_banda_baja,11,6,2,11.7282,31.2438
cano,push,salto_brusco_estadistico,460,14,5,4.4262,257.7137
