dataset,Clasificador,Accuracy,Kappa,MAE,RMSE,RAE_pct,RRSE_pct,AUC,EXITO,cv,folds,sujeto
212260668_all_noOutliers,NaiveBayes,84.92,0.7716,0.1005,0.317,23.06,67.92,0.9175,SI,bloques,4,212260668
212260668_all_noOutliers,SMO_SVM,87.44,0.8078,0.1227,0.2444,28.16,52.36,0.9701,SI,bloques,4,212260668
212260668_all_noOutliers,MLP,93.47,0.8998,0.0684,0.1983,15.69,42.47,0.9821,SI,bloques,4,212260668
212260668_all_noOutliers,IBk_kNN,92.46,0.8846,0.0503,0.2242,11.53,48.03,0.9432,SI,bloques,4,212260668
212260668_all_noOutliers,RBFNetwork_aprox,82.41,0.7327,0.1368,0.2662,31.39,57.04,0.9534,SI,bloques,4,212260668
212260668_all_noOutliers,J48_C45,79.4,0.6879,0.1374,0.3706,31.52,79.4,0.8531,SI,bloques,4,212260668
212260668_all_noOutliers,RandomForest,92.46,0.8852,0.0969,0.2359,22.23,50.54,0.9509,SI,bloques,4,212260668
212260672_all_noOutliers,NaiveBayes,74.47,0.5265,0.1277,0.3573,41.21,90.79,0.7792,no,bloques,2,212260672
212260672_all_noOutliers,SMO_SVM,86.17,0.766,0.1329,0.222,42.89,56.4,0.9466,SI,bloques,2,212260672
212260672_all_noOutliers,MLP,85.11,0.7455,0.0964,0.2223,31.13,56.48,0.9432,SI,bloques,2,212260672
212260672_all_noOutliers,IBk_kNN,88.3,0.8071,0.0585,0.2419,18.89,61.46,0.8878,SI,bloques,2,212260672
212260672_all_noOutliers,RBFNetwork_aprox,73.4,0.5176,0.1847,0.293,59.62,74.46,0.8997,no,bloques,2,212260672
212260672_all_noOutliers,J48_C45,80.85,0.6798,0.0957,0.3094,30.91,78.63,0.7999,SI,bloques,2,212260672
212260672_all_noOutliers,RandomForest,85.11,0.7371,0.1673,0.2532,54.02,64.35,0.9321,SI,bloques,2,212260672
222260671_all_noOutliers,NaiveBayes,66.67,0.3074,0.1675,0.4075,59.32,108.44,0.7624,no,bloques,2,222260671
222260671_all_noOutliers,SMO_SVM,60.82,0.315,0.2425,0.3918,85.85,104.26,0.7265,no,bloques,2,222260671
222260671_all_noOutliers,MLP,61.4,0.3176,0.2206,0.3951,78.13,105.15,0.749,no,bloques,2,222260671
222260671_all_noOutliers,IBk_kNN,60.82,0.2969,0.1959,0.4426,69.37,117.79,0.6454,no,bloques,2,222260671
222260671_all_noOutliers,RBFNetwork_aprox,61.4,0.1987,0.2304,0.3748,81.57,99.74,0.6574,no,bloques,2,222260671
222260671_all_noOutliers,J48_C45,68.42,0.4364,0.1579,0.3974,55.91,105.74,0.7021,no,bloques,2,222260671
222260671_all_noOutliers,RandomForest,72.51,0.4028,0.2217,0.3179,78.5,84.59,0.8041,no,bloques,2,222260671
22260552_all_noOutliers,NaiveBayes,63.85,0.5005,0.1814,0.4226,54.01,103.13,0.8582,no,bloques,6,22260552
22260552_all_noOutliers,SMO_SVM,87.62,0.8158,0.071,0.2205,21.14,53.81,0.9571,SI,bloques,6,22260552
22260552_all_noOutliers,MLP,88.62,0.8309,0.0606,0.2142,18.06,52.26,0.966,SI,bloques,6,22260552
22260552_all_noOutliers,IBk_kNN,83.51,0.7541,0.0824,0.2871,24.54,70.06,0.8459,SI,bloques,6,22260552
22260552_all_noOutliers,RBFNetwork_aprox,84.98,0.7817,0.078,0.2158,23.22,52.65,0.9639,SI,bloques,6,22260552
22260552_all_noOutliers,J48_C45,80.73,0.7104,0.0964,0.3104,28.69,75.75,0.81,SI,bloques,6,22260552
22260552_all_noOutliers,RandomForest,88.16,0.82,0.1176,0.2181,35.02,53.22,0.9453,SI,bloques,6,22260552
22260552_all_sinArtefactosConservador,NaiveBayes,73.77,0.6153,0.1289,0.3456,38.93,84.95,0.8719,no,bloques,3,22260552
22260552_all_sinArtefactosConservador,SMO_SVM,79.14,0.6857,0.1183,0.2899,35.73,71.25,0.9119,SI,bloques,3,22260552
22260552_all_sinArtefactosConservador,MLP,79.45,0.6867,0.1112,0.2804,33.6,68.9,0.9195,SI,bloques,3,22260552
22260552_all_sinArtefactosConservador,IBk_kNN,75.0,0.6181,0.125,0.3536,37.75,86.89,0.7775,SI,bloques,3,22260552
22260552_all_sinArtefactosConservador,RBFNetwork_aprox,78.68,0.6716,0.1235,0.2771,37.31,68.1,0.925,SI,bloques,3,22260552
22260552_all_sinArtefactosConservador,J48_C45,79.14,0.684,0.1043,0.3229,31.5,79.37,0.8207,SI,bloques,3,22260552
22260552_all_sinArtefactosConservador,RandomForest,83.13,0.7374,0.1614,0.2592,48.74,63.7,0.9083,SI,bloques,3,22260552
231260558_all_noOutliers,NaiveBayes,70.18,0.5626,0.1509,0.3718,46.51,92.3,0.8624,no,bloques,5,231260558
231260558_all_noOutliers,SMO_SVM,71.51,0.5659,0.1497,0.3387,46.12,84.07,0.8763,no,bloques,5,231260558
231260558_all_noOutliers,MLP,80.49,0.6982,0.1101,0.2832,33.94,70.31,0.9378,SI,bloques,5,231260558
231260558_all_noOutliers,IBk_kNN,72.39,0.5612,0.138,0.3715,42.53,92.23,0.7882,no,bloques,5,231260558
231260558_all_noOutliers,RBFNetwork_aprox,79.71,0.6815,0.1199,0.2747,36.96,68.19,0.9437,SI,bloques,5,231260558
231260558_all_noOutliers,J48_C45,59.09,0.3689,0.2045,0.4523,63.03,112.28,0.7147,no,bloques,5,231260558
231260558_all_noOutliers,RandomForest,79.49,0.6683,0.216,0.3021,66.57,74.98,0.9152,SI,bloques,5,231260558
252260554_all_noOutliers,NaiveBayes,59.29,0.3782,0.2081,0.4308,65.65,108.21,0.735,no,bloques,3,252260554
252260554_all_noOutliers,SMO_SVM,73.05,0.5802,0.152,0.324,47.95,81.38,0.8249,no,bloques,3,252260554
252260554_all_noOutliers,MLP,71.56,0.5471,0.156,0.3344,49.22,83.98,0.8313,no,bloques,3,252260554
252260554_all_noOutliers,IBk_kNN,64.13,0.4512,0.1794,0.4235,56.58,106.38,0.6998,no,bloques,3,252260554
252260554_all_noOutliers,RBFNetwork_aprox,74.35,0.5723,0.1506,0.3111,47.51,78.14,0.8175,no,bloques,3,252260554
252260554_all_noOutliers,J48_C45,60.22,0.3756,0.1989,0.446,62.74,112.02,0.6232,no,bloques,3,252260554
252260554_all_noOutliers,RandomForest,73.05,0.5415,0.238,0.3222,75.08,80.94,0.8208,no,bloques,3,252260554
252260554_all_sinArtefactosConservador,NaiveBayes,56.9,0.3289,0.2171,0.4474,67.49,111.54,0.5813,no,bloques,3,252260554
252260554_all_sinArtefactosConservador,SMO_SVM,70.7,0.5362,0.1631,0.3384,50.7,84.38,0.7808,no,bloques,3,252260554
252260554_all_sinArtefactosConservador,MLP,65.13,0.4587,0.1876,0.3772,58.29,94.04,0.7675,no,bloques,3,252260554
252260554_all_sinArtefactosConservador,IBk_kNN,57.87,0.3671,0.2107,0.459,65.48,114.43,0.6367,no,bloques,3,252260554
252260554_all_sinArtefactosConservador,RBFNetwork_aprox,71.67,0.5365,0.1844,0.3374,57.31,84.13,0.7052,no,bloques,3,252260554
252260554_all_sinArtefactosConservador,J48_C45,54.72,0.301,0.2264,0.4758,70.37,118.63,0.6132,no,bloques,3,252260554
252260554_all_sinArtefactosConservador,RandomForest,71.43,0.5308,0.263,0.3506,81.76,87.42,0.6523,no,bloques,3,252260554
252260556_all_noOutliers,NaiveBayes,35.76,0.177,0.3188,0.5388,88.85,127.22,0.6884,no,bloques,8,252260556
252260556_all_noOutliers,SMO_SVM,58.52,0.4233,0.2145,0.4012,59.77,94.73,0.7884,no,bloques,8,252260556
252260556_all_noOutliers,MLP,66.03,0.5272,0.1844,0.3686,51.4,87.02,0.8408,no,bloques,8,252260556
252260556_all_noOutliers,IBk_kNN,54.95,0.3729,0.2253,0.4746,62.79,112.06,0.681,no,bloques,8,252260556
252260556_all_noOutliers,RBFNetwork_aprox,66.63,0.528,0.1879,0.3477,52.37,82.1,0.8532,no,bloques,8,252260556
252260556_all_noOutliers,J48_C45,49.58,0.294,0.2521,0.5021,70.26,118.54,0.6394,no,bloques,8,252260556
252260556_all_noOutliers,RandomForest,64.24,0.4816,0.2886,0.3619,80.43,85.43,0.8323,no,bloques,8,252260556
252260556_all_sinArtefactosConservador,NaiveBayes,48.0,0.3066,0.2637,0.4786,73.34,112.89,0.7236,no,bloques,7,252260556
252260556_all_sinArtefactosConservador,SMO_SVM,61.33,0.458,0.216,0.3945,60.07,93.05,0.7701,no,bloques,7,252260556
252260556_all_sinArtefactosConservador,MLP,67.56,0.5438,0.1858,0.3656,51.69,86.22,0.8294,no,bloques,7,252260556
252260556_all_sinArtefactosConservador,IBk_kNN,58.37,0.4177,0.2081,0.4562,57.9,107.61,0.6969,no,bloques,7,252260556
252260556_all_sinArtefactosConservador,RBFNetwork_aprox,69.93,0.5711,0.1856,0.3323,51.63,78.38,0.8611,no,bloques,7,252260556
252260556_all_sinArtefactosConservador,J48_C45,56.15,0.3891,0.2193,0.4683,60.99,110.45,0.68,no,bloques,7,252260556
252260556_all_sinArtefactosConservador,RandomForest,65.93,0.5083,0.2855,0.3575,79.43,84.32,0.8258,no,bloques,7,252260556
252260556_all_sinArtefactosEstricto,NaiveBayes,43.36,0.2328,0.2822,0.497,78.09,116.92,0.7012,no,bloques,5,252260556
252260556_all_sinArtefactosEstricto,SMO_SVM,61.73,0.4624,0.2164,0.3805,59.89,89.53,0.8003,no,bloques,5,252260556
252260556_all_sinArtefactosEstricto,MLP,60.18,0.4423,0.214,0.3864,59.22,90.92,0.8205,no,bloques,5,252260556
252260556_all_sinArtefactosEstricto,IBk_kNN,51.55,0.3296,0.2423,0.4922,67.04,115.79,0.6558,no,bloques,5,252260556
252260556_all_sinArtefactosEstricto,RBFNetwork_aprox,66.81,0.525,0.2178,0.354,60.27,83.29,0.845,no,bloques,5,252260556
252260556_all_sinArtefactosEstricto,J48_C45,43.58,0.2167,0.2821,0.5311,78.06,124.95,0.5967,no,bloques,5,252260556
252260556_all_sinArtefactosEstricto,RandomForest,61.5,0.4481,0.3013,0.3719,83.39,87.5,0.7964,no,bloques,5,252260556
252260670_all_noOutliers,NaiveBayes,92.37,0.8585,0.0382,0.1954,13.34,51.64,0.8343,SI,bloques,2,252260670
252260670_all_noOutliers,SMO_SVM,92.37,0.8622,0.0723,0.1796,25.25,47.47,0.982,SI,bloques,2,252260670
252260670_all_noOutliers,MLP,91.6,0.8473,0.0488,0.1822,17.05,48.17,0.9256,SI,bloques,2,252260670
252260670_all_noOutliers,IBk_kNN,94.66,0.904,0.0267,0.1635,9.33,43.21,0.8257,SI,bloques,2,252260670
252260670_all_noOutliers,RBFNetwork_aprox,92.37,0.8599,0.0719,0.1798,25.12,47.52,0.9822,SI,bloques,2,252260670
252260670_all_noOutliers,J48_C45,83.97,0.7224,0.0802,0.2831,28.0,74.84,0.7474,SI,bloques,2,252260670
252260670_all_noOutliers,RandomForest,93.89,0.8884,0.0987,0.1917,34.47,50.67,0.9654,SI,bloques,2,252260670
cano_all_noOutliers,NaiveBayes,34.8,0.1752,0.3266,0.5654,112.08,148.13,0.5809,no,bloques,3,cano
cano_all_noOutliers,SMO_SVM,28.47,-0.1464,0.3189,0.4923,109.45,128.98,0.5762,no,bloques,3,cano
cano_all_noOutliers,MLP,29.49,-0.2306,0.3444,0.5557,118.19,145.58,0.5658,no,bloques,3,cano
cano_all_noOutliers,IBk_kNN,29.6,-0.2889,0.352,0.5933,120.79,155.43,0.408,no,bloques,3,cano
cano_all_noOutliers,RBFNetwork_aprox,33.79,-0.0302,0.3113,0.4808,106.83,125.97,0.5755,no,bloques,3,cano
cano_all_noOutliers,J48_C45,22.6,-0.2812,0.3799,0.6057,130.37,158.68,0.3903,no,bloques,3,cano
cano_all_noOutliers,RandomForest,29.27,-0.2472,0.3657,0.5417,125.5,141.93,0.4533,no,bloques,3,cano
cano_all_sinArtefactosConservador,NaiveBayes,34.88,0.0318,0.3281,0.5581,109.58,144.23,0.6078,no,bloques,3,cano
cano_all_sinArtefactosConservador,SMO_SVM,22.72,-0.2516,0.348,0.5269,116.23,136.17,0.5471,no,bloques,3,cano
cano_all_sinArtefactosConservador,MLP,23.2,-0.295,0.378,0.5907,126.24,152.66,0.5203,no,bloques,3,cano
cano_all_sinArtefactosConservador,IBk_kNN,22.72,-0.3028,0.3864,0.6216,129.04,160.65,0.4021,no,bloques,3,cano
cano_all_sinArtefactosConservador,RBFNetwork_aprox,25.92,-0.1974,0.3435,0.5138,114.7,132.79,0.5541,no,bloques,3,cano
cano_all_sinArtefactosConservador,J48_C45,22.88,-0.2669,0.3846,0.6139,128.43,158.66,0.407,no,bloques,3,cano
cano_all_sinArtefactosConservador,RandomForest,23.36,-0.2867,0.3877,0.5676,129.47,146.7,0.4756,no,bloques,3,cano
villanueva_all_noOutliers,NaiveBayes,36.71,-0.0406,0.3149,0.5291,115.13,143.08,0.5454,no,bloques,2,villanueva
villanueva_all_noOutliers,SMO_SVM,35.28,-0.1811,0.3014,0.4693,110.2,126.9,0.6104,no,bloques,2,villanueva
villanueva_all_noOutliers,MLP,35.28,-0.227,0.3198,0.5404,116.92,146.13,0.5864,no,bloques,2,villanueva
villanueva_all_noOutliers,IBk_kNN,33.86,-0.1877,0.3307,0.5751,120.9,155.5,0.4899,no,bloques,2,villanueva
villanueva_all_noOutliers,RBFNetwork_aprox,38.92,-0.1711,0.2953,0.4585,107.95,123.98,0.608,no,bloques,2,villanueva
villanueva_all_noOutliers,J48_C45,35.28,-0.2078,0.3292,0.5637,120.34,152.42,0.443,no,bloques,2,villanueva
villanueva_all_noOutliers,RandomForest,37.5,-0.231,0.3371,0.4965,123.25,134.26,0.5136,no,bloques,2,villanueva
