sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,clase,recall,precision,soporte,minoritaria
211260561,all,sinArtefactosConservador,random_undersampling_controlado,IBk_kNN,push,0.6328,0.6328,128,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,IBk_kNN,right,0.4203,0.5179,69,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RBFNetwork_aprox,left,0.8176,0.6701,159,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RBFNetwork_aprox,pull,0.2766,0.4062,47,True
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RBFNetwork_aprox,push,0.7266,0.6992,128,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RBFNetwork_aprox,right,0.3768,0.5909,69,False
211260561,all,sinArtefactosEstricto,sin_balanceo,SMO_SVM,left,0.8167,0.7903,120,False
211260561,all,sinArtefactosEstricto,sin_balanceo,SMO_SVM,pull,0.5938,0.4634,32,True
211260561,all,sinArtefactosEstricto,sin_balanceo,SMO_SVM,push,0.6667,0.6667,84,False
211260561,all,sinArtefactosEstricto,sin_balanceo,SMO_SVM,right,0.5345,0.6889,58,False
211260561,all,sinArtefactosEstricto,sin_balanceo,RandomForest,left,0.7667,0.6571,120,False
211260561,all,sinArtefactosEstricto,sin_balanceo,RandomForest,pull,0.3125,0.625,32,True
211260561,all,sinArtefactosEstricto,sin_balanceo,RandomForest,push,0.75,0.6364,84,False
211260561,all,sinArtefactosEstricto,sin_balanceo,RandomForest,right,0.2931,0.4359,58,False
211260561,all,sinArtefactosEstricto,sin_balanceo,MLP,left,0.7917,0.7661,120,False
211260561,all,sinArtefactosEstricto,sin_balanceo,MLP,pull,0.5938,0.6129,32,True
211260561,all,sinArtefactosEstricto,sin_balanceo,MLP,push,0.6905,0.6517,84,False
211260561,all,sinArtefactosEstricto,sin_balanceo,MLP,right,0.5345,0.62,58,False
211260561,all,sinArtefactosEstricto,sin_balanceo,IBk_kNN,left,0.8333,0.7937,120,False
211260561,all,sinArtefactosEstricto,sin_balanceo,IBk_kNN,pull,0.625,0.8333,32,True
211260561,all,sinArtefactosEstricto,sin_balanceo,IBk_kNN,push,0.75,0.6774,84,False
211260561,all,sinArtefactosEstricto,sin_balanceo,IBk_kNN,right,0.3621,0.4118,58,False
211260561,all,sinArtefactosEstricto,sin_balanceo,RBFNetwork_aprox,left,0.8917,0.7086,120,False
