sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,accuracy,balanced_accuracy,kappa,macro_f1,weighted_f1,recall_left,recall_pull,recall_push,recall_right,precision_left,precision_pull,precision_push,precision_right,auc,min_clase,problema_muestra,exito,observacion,cv,folds
211260561,left,noOutliers,sin_balanceo,MLP,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,sin_balanceo,IBk_kNN,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,sin_balanceo,RBFNetwork_aprox,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_oversampling,SMO_SVM,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_oversampling,RandomForest,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_oversampling,MLP,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_oversampling,IBk_kNN,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_oversampling,RBFNetwork_aprox,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,class_weight_balanced,SMO_SVM,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,class_weight_balanced,RandomForest,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,class_weight_balanced,MLP,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,class_weight_balanced,IBk_kNN,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,class_weight_balanced,RBFNetwork_aprox,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote,SMO_SVM,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote,RandomForest,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote,MLP,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote,IBk_kNN,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote,RBFNetwork_aprox,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote_tomek,SMO_SVM,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote_tomek,RandomForest,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote_tomek,MLP,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote_tomek,IBk_kNN,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,smote_tomek,RBFNetwork_aprox,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_undersampling_controlado,SMO_SVM,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_undersampling_controlado,RandomForest,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_undersampling_controlado,MLP,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_undersampling_controlado,IBk_kNN,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,random_undersampling_controlado,RBFNetwork_aprox,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,sinArtefactosConservador,sin_balanceo,SMO_SVM,,,,,,,,,,,,,,,0,True,NO_APLICA,variante marcada como no modelable,,
211260561,left,sinArtefactosConservador,sin_balanceo,RandomForest,,,,,,,,,,,,,,,0,True,NO_APLICA,variante marcada como no modelable,,
211260561,left,sinArtefactosConservador,sin_balanceo,MLP,,,,,,,,,,,,,,,0,True,NO_APLICA,variante marcada como no modelable,,
211260561,left,sinArtefactosConservador,sin_balanceo,IBk_kNN,,,,,,,,,,,,,,,0,True,NO_APLICA,variante marcada como no modelable,,
